job_id,cleaned_text
J1,python sql excel year statistic looking data analyst skilled python sql excel
J2,java spring mysql year computer science backend software engineer role using java spring
J3,python machine learning year data science ml internship focusing model development
J4,hr operation communication year hr hr executive managing recruitment employee relation
J5,power bi sql year bi analyst responsible dashboard reporting
J6,html cs javascript year frontend developer building responsive user interface
J7,python flask apis year backend developer creating rest apis
J8,python etl sql year data engineer managing etl pipeline
J9,testing automation year qa engineer responsible automated testing
J10,python ai year data science research intern working ai model
